age,total_invested,risk_tolerance,months_active,app_sessions_month
22,8823,4,3,16
45,481363,2,12,29
35,269009,2,3,17
26,1343,2,2,17
31,137171,2,2,19
36,248384,2,4,17
32,77495,3,1,20
36,217007,4,7,14
24,142857,1,17,29
33,143831,4,7,21
20,589693,4,4,18
31,84685,1,12,12
24,324101,2,11,14
26,398088,-2,3,16
41,71062,3,7,18
40,36531,5,10,22
36,11672,4,2,15
23,128508,4,3,7
29,4332,1,1,16
41,991752,4,35,38
33,69116,1,1,12
50,31342,4,1,21
35,65537,2,5,21
33,495959,3,16,24
29,73671,3,3,16
33,504969,3,11,20
30,1675073,2,9,14
37,343428,4,8,19
39,5356972,3,14,19
25,34539,4,1,17
21,222992,2,21,29
18,2908195,1,14,19
36,378794,2,22,22
23,135356,3,12,23
18,1733994,1,16,23
35,13829,3,1,10
51,47494,3,3,16
31,30956,1,3,14
38,32491,3,1,19
32,1018592,1,10,20
31,1110,1,1,22
39,101327,2,1,17
29,150786,1,11,26
34,219341,3,18,26
34,2297414,3,11,17
26,111948,2,13,19
39,319438,4,7,26
30,320753,3,17,28
25,166680,5,5,12
36,8131646,3,35,31
24,1367,3,1,10
32,955488,4,13,21
31,682763,2,8,21
40,364889,1,6,13
35,118292,2,10,15
31,140500,2,14,22
38,8508516,3,15,13
43,13502,3,1,16
36,205969,3,1,9
32,42607,1,1,14
21,232927,2,1,21
23,45503,1,2,16
29,38741,1,10,24
27,33420,2,5,29
30,49282,3,11,23
32,4140071,4,5,17
36,425691,2,6,19
31,84801,2,1,8
35,560120,3,11,23
32,127612,2,11,17
18,11379,1,2,18
24,68496,4,3,15
30,412215,1,1,21
22,21618,1,13,38
36,111240,2,10,19
44,181140,4,7,28
41,23764,3,2,16
30,2315,3,1,13
43,1298,3,1,16
33,2977,1,1,14
29,99708,5,1,15
27,33006,3,1,16
29,436077,4,6,25
28,39765,3,3,18
33,118492,3,4,17
33,970131,2,7,12
32,1374881,2,8,22
35,495486,2,8,18
41,84996,4,2,12
39,645436,2,13,22
20,197615,2,19,22
18,32739,1,3,13
39,8207,5,1,9
21,1845725,3,18,21
30,28165,3,20,18
22,158895,1,1,14
18,9580,3,1,15
36,71628,3,13,24
38,34643,4,2,21
27,133070,2,19,20
18,10023,4,1,13
27,147089,3,15,26
35,15582,2,1,16
20,27641,3,2,19
33,690827,1,28,31
31,133378,4,2,13
36,14906,1,1,11
32,739395,2,15,20
24,6727,1,1,9
41,76521,-1,1,14
30,84608,5,3,17
31,73625,1,8,15
24,99677,1,9,28
28,729271,2,17,16
24,553103,4,6,21
30,75961,2,3,15
45,43126,3,3,20
21,147070,2,15,22
19,101966,3,10,27
43,161697,3,18,31
30,61316,5,26,25
26,29832,2,2,13
40,318483,2,6,22
27,50959,4,7,23
46,11617,2,1,13
37,4274,3,1,17
28,80801,4,16,32
49,63536,4,6,17
27,94638,3,6,17
37,47950,2,6,19
34,248702,2,11,19
42,17196,1,1,19
44,91836,4,7,22
32,262079,3,5,14
25,222657,3,18,23
35,37927,5,5,23
26,696293,2,22,30
48,26521,4,3,18
33,3535530,2,27,25
29,281084,5,16,18
33,71623,2,7,15
21,41152,4,3,18
24,43441,1,3,14
41,1321753,3,11,17
26,208641,5,6,17
23,86376,2,4,18
36,967584,4,8,16
41,34879,3,10,19
37,44965,3,1,15
39,48350,3,1,16
25,39251,3,1,15
20,1931,3,2,11
44,39352,2,4,17
29,283892,1,13,16
29,228627,3,3,12
42,331913,3,1,21
36,60071,4,5,18
35,186900,4,45,32
49,319387,2,3,27
26,19968243,4,26,22
39,125824,2,1,12
32,13574,3,1,22
34,6196156,2,10,23
44,379993,1,5,18
36,28383,1,11,17
36,6112506,2,15,27
40,28163,5,2,22
29,113901,3,9,10
25,334818,1,7,26
23,291166,3,15,16
18,111510,2,4,15
48,34917,1,1,22
23,152361,4,6,26
30,40977,3,25,31
29,37518,5,1,17
34,56474,3,2,24
38,48642,2,3,20
38,148159,5,11,24
27,844,4,3,14
30,20459,2,2,15
34,1003662,2,8,21
30,108564,3,1,13
44,21194,3,1,9
35,24516,3,4,15
37,160868,2,3,19
37,577847,1,3,17
41,69183,3,1,18
33,25017,3,3,18
21,28337,5,12,14
35,778058,3,4,23
26,54671,2,7,16
27,35501,2,1,11
36,1579,1,1,19
41,148781,1,16,23
32,161451,3,3,13
34,57880,3,3,23
45,1000087,5,16,25
33,41326,3,9,9
52,82238,2,11,19
36,641806,4,9,19
18,46154,4,1,16
38,1084863,3,25,28
35,2367968,3,19,22
42,10950,3,2,25
37,99065,3,13,20
30,712832,2,4,15
22,279920,5,9,22
30,57041,4,1,14
25,99588,2,6,20
27,69235,3,1,12
36,401661,1,6,18
45,8633,3,2,16
35,176174,4,4,16
22,37730,3,8,22
35,265425,1,16,27
41,5752,3,1,19
27,1544265,1,17,26
30,57521,4,3,17
32,49309,3,14,19
25,14590,4,5,20
37,333748,2,15,26
31,264826,2,8,19
35,810596,4,5,16
24,58016,4,2,20
28,26602,1,27,28
37,73158,4,12,27
29,1094355,4,3,24
45,23528,3,1,16
28,751136,4,12,24
33,994642,3,36,48
39,19968,1,2,17
20,213285,-1,19,22
18,23329,4,1,21
19,276304,3,24,25
42,3998305,1,10,17
27,38188,3,3,18
52,22561,1,2,21
27,140769,3,8,16
33,571193,-2,7,21
44,829301,3,20,23
48,178017,1,11,28
48,16352,4,6,18
41,2423099,4,21,31
40,396991,2,7,23
36,294931,4,15,20
38,300749,3,14,18
27,304737,3,20,19
25,235340,2,1,22
31,53721,4,7,15
30,47517,5,5,18
28,28208,3,5,18
37,232146,2,4,18
39,399345,3,14,26
32,101708,2,3,16
43,55614,3,4,14
22,79213,3,1,10
30,15464,1,2,22
26,443552,2,8,19
18,1153263,3,1,17
31,14025,1,1,13
31,361948,3,6,32
44,34156,2,1,19
37,457573,4,1,8
23,214218,4,15,24
46,628945,4,14,19
41,78774,1,3,13
36,106379,5,3,20
30,726238,1,22,32
24,37286,4,1,15
29,213943,2,6,24
40,241205,5,7,22
47,232372,1,12,24
44,695185,3,24,24
28,116845,5,3,10
23,155036,3,4,18
33,950384,3,8,16
18,5027419,3,27,31
34,121291,5,17,31
30,125406,3,8,14
28,237863,3,15,17
19,7061,2,1,15
36,196888,4,3,26
27,67817,2,1,14
22,1830,-2,1,14
18,29773,4,7,19
31,192951,2,17,21
46,34909,2,8,23
45,204221,4,8,21
28,3373,4,1,12
27,322722,1,8,19
35,147326,3,4,15
24,341888,1,8,22
34,135858,4,3,17
38,1004557,1,6,19
41,60630,2,4,25
31,32196,4,6,21
30,14633,3,1,19
24,91042,4,4,14
25,154357,1,3,21
30,784848,1,10,19
34,1198978,2,9,17
39,567591,3,19,30
25,23646,2,7,23
43,150500,1,3,17
29,73406,5,12,14
31,189910,2,5,11
26,29529,3,1,15
18,38611,3,11,28
39,9931,1,1,12
37,27978,3,1,24
29,8421,2,11,15
32,403934,1,11,25
36,196251,2,12,23
19,74995,4,2,16
27,29526,5,16,28
38,335881,3,10,15
21,1237432,4,14,27
34,404818,4,9,22
21,259519,3,6,20
35,60133,1,1,8
31,32681,2,9,23
19,366360,2,9,13
41,130609,3,2,13
26,109683,3,10,8
25,206185,3,6,19
33,6153,-1,6,16
41,80364,2,3,23
23,3949,2,1,14
32,107599,3,1,15
35,177786,3,11,17
37,38742,1,2,17
33,36372,2,1,14
29,453044,2,46,48
25,79067,3,1,12
32,19530,4,8,22
23,521518,4,20,34
18,46006,3,7,13
35,1144376,3,12,27
39,35772,2,29,30
18,21498,4,15,19
23,56353,1,6,15
36,220211,3,3,14
48,68506,1,5,19
32,940329,3,14,29
26,1623240,1,15,21
30,830203,3,14,21
42,264116,1,7,26
26,149541,2,5,24
25,25503,4,2,14
28,12476,2,1,13
24,21454,4,11,22
32,20798,1,2,15
44,74151,3,3,28
34,214222,4,14,28
29,8253,3,1,23
29,720058,2,21,28
19,31551,5,1,13
39,566366,3,22,27
31,111511,3,4,16
30,54909,4,1,16
57,1023588,1,8,18
34,458246,3,18,33
25,12757,3,4,13
28,183998,3,9,14
41,760736,3,31,34
32,15074,4,2,22
20,157525,2,13,29
39,159469,2,2,19
26,127486,1,4,16
46,12179,5,2,14
40,161062,1,4,14
28,26466,3,1,19
42,115689,3,2,15
32,124633,1,4,21
38,210145,3,8,19
35,227404,2,8,13
25,528398,4,7,19
26,9480,4,2,15
40,747376,3,23,41
29,219639,3,3,15
28,2518,1,1,13
24,16067,2,6,21
35,530784,3,11,16
48,7244,3,1,10
23,58919,3,2,19
32,192635,1,13,12
43,218078,2,5,20
31,24651,3,4,18
35,2902047,2,21,28
23,4641,-1,1,20
35,668295,3,7,15
30,14640,-2,3,12
39,291931,1,1,14
41,18358,3,1,15
52,2909737,1,7,15
36,14972,1,1,10
34,137179,1,7,20
33,2137668,4,25,23
29,57794,1,12,19
34,43209,4,3,20
29,48303,4,1,15
33,39264,4,5,21
42,149636,3,3,13
23,229020,2,28,28
41,234164,4,36,27
42,170354,3,4,14
31,4396,3,1,16
18,1278430,3,19,20
27,93335,1,12,33
42,115850,2,5,11
31,26540,5,3,9
24,158353,4,4,18
27,210587,2,18,22
38,170446,5,1,13
36,1543340,1,13,16
30,191302,2,1,11
29,373559,3,20,27
28,61559,3,5,17
24,37347,4,2,16
44,25655,3,1,18
29,161595,3,6,21
41,90061,5,2,14
44,1022847,3,7,28
39,40977,1,2,12
28,4950,3,1,24
35,102216,4,5,20
31,776280,4,6,16
24,4118,2,4,22
34,258963,1,4,14
22,58410,1,7,22
41,34640,4,5,22
28,42868,5,1,20
33,173566,2,1,14
34,20061,3,1,10
29,131355,3,9,21
36,42226,3,6,17
28,118419,1,4,17
38,97048,5,12,18
21,27576,3,3,16
33,148339,4,6,25
47,2354,3,1,14
23,705452,4,10,22
26,40720,3,9,19
36,255998,2,12,26
33,1075317,3,17,18
34,1057737,4,11,14
35,180373,2,14,27
37,3939,4,3,18
40,437855,3,3,17
35,136936,1,23,32
30,974894,4,19,26
37,398037,3,6,26
47,2423,4,3,8
30,76810,1,16,18
24,46018,4,3,17
40,1800,4,1,12
31,32121,3,8,15
18,15451,3,1,11
38,89926,3,3,18
27,498472,4,13,27
31,22858,5,2,20
34,93026,3,21,25
33,102716,3,24,26
37,1296557,2,13,19
28,2906809,2,35,43
36,37584,2,6,17
29,163723,1,6,17
37,491677,3,14,25
36,221641,2,5,23
24,19784,4,4,18
40,86534,3,7,13
27,2888008,4,8,18
38,493846,3,11,22
34,340217,4,8,16
46,590310,4,10,15
30,60356,3,8,16
29,212576,4,5,22
31,18114,2,1,14
29,106377,2,12,27
38,39007,3,1,15
19,259958,3,39,23
23,65959,2,14,26
23,194995,1,8,24
39,475545,1,27,20
45,185076,4,7,24
31,3952,3,1,18
30,762298,2,6,22
32,75015,4,2,4
41,280668,3,3,11
24,212224,4,4,16
33,59460,3,11,25
39,87751,4,5,23
36,48144,3,5,13
33,16795,3,2,26
40,291555,2,6,7
18,195122,3,2,13
37,320079,1,2,14
26,464147,2,11,16
18,38575,4,3,9
36,20589,3,1,14
42,20265,4,3,10
30,192928,3,8,20
39,1546976,3,13,22
44,7726578,4,26,24
42,150157,1,10,20
45,4867,3,4,21
37,35256,3,2,14
32,39449,1,1,5
19,1683070,2,7,20
30,481650,3,5,20
25,841595,-1,9,12
49,19241,2,2,20
30,22391,1,3,22
32,5445,2,2,14
36,179987,5,12,13
32,79864,3,1,17
45,1311214,4,7,24
27,30275,4,1,15
33,176707,2,6,23
26,3706,4,1,20
21,29123,2,1,19
27,17013,2,1,18
31,10367,2,3,16
28,181292,3,3,18
26,168358,1,14,22
20,37485,4,2,18
31,19739,1,1,11
19,66665,3,7,19
38,77526,1,9,22
32,17634,3,2,17
20,302503,3,7,20
29,250513,1,11,16
25,15932,3,3,18
34,38108,2,5,12
42,31770,4,1,19
18,103876,3,1,18
32,3296001,4,31,31
30,12338,1,2,16
37,34567,1,2,12
33,567736,2,28,28
25,142240,4,10,24
29,85663,1,7,20
25,628260,3,9,15
40,1328205,1,9,19
32,223588,4,11,21
47,21637,2,1,16
31,48305,3,4,22
26,3937,1,2,17
19,4722,3,1,15
18,102334,1,4,19
19,220692,2,7,16
34,72116,2,1,14
36,15678,3,2,25
19,29583,4,8,16
39,144736,2,6,15
28,202546,4,16,36
33,365327,4,12,19
44,144272,3,26,20
39,58751,4,7,18
29,83878,3,9,19
24,38845,2,15,21
18,9541,4,14,21
26,22213,2,10,11
30,74732,2,5,16
24,56829,4,2,18
30,1398433,3,16,28
32,2465011,2,11,19
30,421774,4,14,21
26,17702,3,1,14
33,59236,1,3,15
35,41861,3,4,21
23,3399705,5,14,23
43,775410,2,17,25
31,121505,2,2,20
32,45550,2,9,26
37,32728,-2,1,14
33,352542,1,4,15
39,505336,3,5,21
34,937180,4,11,21
27,389374,2,17,21
34,65282,3,3,17
22,73371,3,6,13
32,242616,2,8,17
31,91552,3,3,23
30,2390857,3,33,21
30,1316378,2,16,25
18,456656,1,2,9
27,2751,3,5,16
32,38383,2,2,18
33,131541,2,5,19
23,53560,3,9,22
42,6553,3,1,18
25,40761,4,16,10
39,64237,1,7,18
35,3508378,4,36,24
26,67500,3,1,13
46,227097,3,14,20
22,104200,5,12,25
39,101987,1,1,16
40,12909,-2,3,18
26,187331,3,17,22
43,188038,2,5,12
29,80967,4,4,13
34,999109,2,18,22
34,4419,2,1,26
30,39879,3,5,23
38,604528,3,8,18
38,12103,2,7,18
18,105953,3,2,16
42,411751,2,6,18
18,438456,3,9,22
40,132863,-1,7,20
41,663753,3,9,17
23,9797,2,2,18
28,170269,3,14,17
23,83565,-2,4,18
30,308362,2,34,19
29,34644,2,1,13
38,25333,2,3,9
42,55216,4,1,16
43,1617339,3,6,22
27,11805,3,2,12
30,194658,3,10,23
18,16261,4,17,24
25,4907,2,1,19
39,92871,4,1,14
44,381730,2,16,23
22,146238,4,3,9
27,40873,4,4,19
31,24679,3,1,15
34,31013,2,4,17
25,91055,3,2,11
35,307297,4,8,27
28,5327,1,5,23
31,25143,4,12,9
36,3605,1,3,17
32,12948,4,5,18
28,45771,4,2,18
31,39433,3,21,31
31,49148,4,5,15
29,70735,2,1,15
29,137476,4,2,16
44,17379,3,1,12
36,86384,1,1,14
29,429670,3,5,23
37,168053,4,3,13
29,992496,1,26,32
41,99623,3,1,15
34,805725,4,12,20
31,23323,2,3,16
35,42514,2,2,12
19,278407,2,27,20
22,637874,2,12,19
22,69765,5,7,20
33,97321,3,9,16
45,5210776,1,38,38
49,318643,4,7,15
37,420185,1,1,18
36,14213,4,1,12
18,57231,3,8,20
27,409964,3,8,17
25,63205,3,11,17
27,162420,1,1,8
30,144021,3,23,27
28,83191,3,6,12
18,5840,3,8,15
37,35188,4,1,17
23,96657,3,25,36
33,2017970,3,6,19
48,66332,2,6,13
24,108492,4,22,25
18,798524,4,21,25
29,9723,3,1,17
40,1621366,-1,21,23
47,142035,2,10,16
22,7769,3,1,19
35,51598,1,2,20
28,18573,4,4,21
31,193085,3,6,12
53,687730,5,9,19
19,25890,4,1,17
34,1009845,2,14,24
35,46329,3,14,28
40,122594,3,8,25
32,203064,4,20,36
34,2482075,3,13,23
28,19911,3,2,20
34,25264,3,12,18
29,143886,3,24,32
36,15076,3,1,12
29,45112,3,30,37
35,63954,3,1,20
31,15205,5,5,13
41,375723,2,11,24
31,64700,1,12,21
18,406704,3,10,21
42,114868,2,6,18
24,90038,2,8,17
26,565487,3,9,31
27,39808,3,5,14
42,372404,1,7,16
18,52361,3,14,27
57,48991,2,3,14
40,180050,3,5,21
33,7212,1,1,15
31,47716,1,9,21
34,50095,2,1,14
36,4175,3,5,12
37,148183,4,1,15
36,35496,2,1,22
32,7200,1,5,24
30,9556,4,4,17
30,439422,4,4,13
30,66742,2,1,20
41,1619210,2,23,31
36,4811,1,1,13
18,3051279,4,17,28
37,161654,4,10,22
33,44430,1,1,16
31,225457,1,5,15
28,3156227,2,35,35
40,309884,2,8,15
39,54902,4,1,13
25,72928,2,4,11
35,39649,2,5,14
24,14853,1,12,22
20,526867,3,19,26
26,3672,2,1,17
38,91337,2,3,19
39,79694,5,2,10
36,1362292,1,44,31
37,56532,2,6,16
36,1850108,3,16,27
26,141422,3,4,23
35,96875,3,10,19
38,638306,2,2,12
38,491787,2,19,29
41,10755,2,4,13
37,139538,4,13,24
34,8722,2,2,11
40,1226538,2,9,26
31,390038,3,4,12
24,64766,1,1,20
30,206660,4,4,14
26,536733,2,6,16
26,14959,4,1,14
30,33212,5,1,8
25,37746,1,5,16
29,66545,2,3,14
18,137293,3,4,16
33,2644,1,4,24
32,6338,3,1,15
25,16252,2,1,20
37,182235,3,15,22
39,11621,1,1,15
19,324458,2,8,20
25,11406,2,4,17
25,41540,2,27,35
24,82785,2,1,7
38,1304597,1,14,26
30,32483,4,5,14
29,12278,3,1,16
18,36798,2,2,22
37,84340,2,4,27
22,113362,2,3,25
32,141557,3,3,12
34,431812,3,19,22
42,148581,5,3,14
21,8376,3,4,19
18,353101,3,11,16
33,219581,1,12,23
46,25945,3,1,17
41,53761,3,9,21
33,195192,4,5,18
28,27928,3,1,10
38,14604,3,2,15
24,4905,2,1,14
35,8339,3,3,12
36,49147,2,2,22
40,57781,2,3,17
54,1841403,3,6,17
35,315752,2,10,20
27,13272,2,7,12
31,140422,3,9,15
18,1915321,3,16,17
26,141029,4,16,28
28,1913965,1,15,21
27,8231,2,1,22
33,115910,5,2,18
25,930570,3,5,30
40,11028,1,3,20
32,19549,4,1,8
31,35703,2,2,17
29,247570,3,29,30
33,106349,2,3,18
38,1014364,2,4,15
25,33084,3,1,19
26,18128,2,10,20
29,21173,2,4,14
21,62004,4,1,21
25,350728,3,27,35
28,313157,4,12,22
38,40609,3,10,22
34,408782,3,25,30
33,20902,1,4,19
38,55008,2,10,14
30,5895,1,1,13
35,78800,2,9,22
31,8023,3,1,14
34,9707,2,1,11
27,272210,4,4,16
18,8978,2,1,19
30,442946,1,4,22
43,93244,2,5,14
39,474294,3,7,23
39,23468,3,1,19
41,9079,3,1,25
32,188874,4,7,25
33,145833,1,8,27
27,31270,4,1,12
29,68539,2,6,15
36,195528,-2,12,13
41,38452,3,1,19
30,80166,3,4,16
28,1104938,1,3,15
32,412370,3,19,20
36,20241,2,1,15
20,33441,2,3,11
18,115217,3,18,36
27,10088,3,3,15
22,55009,4,6,11
27,96537,3,1,16
30,1933402,3,33,40
28,36346,2,13,27
43,474447,3,8,22
34,1938,5,1,22
34,23133,4,1,20
36,258373,3,6,19
22,6738,3,2,20
40,929684,5,7,17
31,1513117,1,7,17
37,432957,3,14,32
23,63165,1,2,12
19,235996,1,6,15
38,82824,2,12,19
35,26679,2,5,20
24,102261,1,14,23
25,20910,4,1,16
41,277910,4,10,24
22,151012,3,22,37
45,83672,4,3,14
24,41868,1,3,18
37,11084,2,1,16
29,84828,3,8,24
36,64241,4,6,18
27,1208,3,1,8
30,280351,1,11,19
32,44652,2,14,22
23,311758,3,19,24
37,122576,3,6,23
27,69320,3,4,16
30,340799,3,16,22
24,79580,1,4,17
18,971562,4,8,28
30,36874,3,7,13
51,17107,2,3,12
38,7693,3,1,10
31,11030,2,1,13
29,41057,3,4,18
32,157527,2,5,17
36,91904,1,13,19
22,165024,-2,4,16
40,23469,1,2,21
37,174978,1,4,17
37,12088,2,2,21
35,31248,3,1,20
32,6501,4,1,15
37,31943,3,3,13
36,5224,3,1,7
29,16409,1,1,16
27,92904,4,12,24
32,89823,3,2,13
44,13892,3,1,16
22,731597,4,23,28
20,44861,1,7,20
33,156133,3,1,14
32,41091,3,1,13
33,226195,3,7,17
33,35969,3,6,13
30,79967,3,1,17
43,166737,4,2,16
19,94852,5,21,32
25,9269,1,6,14
31,14021,3,4,19
18,3504,3,2,17
30,45724,4,1,17
45,76310,2,4,16
32,390550,1,20,19
33,10136,1,1,11
21,2876511,4,37,34
27,28158,4,1,12
28,135232,2,4,18
29,12681,4,1,12
42,270216,4,7,24
36,51685,3,5,14
23,80562,2,8,19
33,40419,1,6,16
35,260544,2,4,22
41,110394,2,10,25
44,41609,4,1,20
23,1578021,2,6,18
25,33377,3,1,16
21,386049,4,4,17
30,1182664,3,12,22
35,1194,2,1,16
39,799665,3,21,26
31,620412,1,17,20
29,218539,4,4,21
33,33024,4,1,13
25,97553,4,12,34
48,684163,4,17,30
19,15643,3,1,15
33,58340,2,19,25
48,477013,3,19,22
32,29148,2,5,22
30,88060,3,12,18
29,13124,4,4,9
30,109403,3,6,15
42,33956,5,3,30
18,27628,5,1,15
44,91028,3,10,20
20,4025,3,1,19
29,36937,2,6,28
28,298440,1,16,17
36,263576,4,2,14
19,80535,3,3,22
35,146114,5,7,18
48,18713,1,2,8
21,586728,3,15,16
33,17958,2,3,15
26,111728,-1,6,14
35,16409,3,2,13
32,99146,1,1,26
26,16998,4,1,15
35,31974,1,1,21
46,1064600,5,5,21
30,382789,3,7,20
37,61335,2,1,13
21,8989,3,1,18
24,36644,4,5,20
35,109419,4,12,15
43,218525,2,7,25
34,31528,2,1,17
29,919971,1,17,29
31,56833,3,19,24
21,43541,2,3,14
36,259495,3,7,17
39,194382,1,5,22
28,448752,4,22,32
28,30919,3,5,12
34,44204,4,25,26
28,10766,3,1,12
31,52869,2,3,12
48,116704,3,12,25
30,299319,2,12,17
29,739848,1,10,24
26,716961,4,15,27
37,524991,3,9,24
30,347957,1,8,19
26,26376,4,4,17
42,96335,2,5,17
43,334618,3,4,17
27,158436,1,7,14
18,32225,3,4,22
40,186911,2,1,16
26,37378,3,1,15
38,5533864,2,20,14
18,1495,3,1,21
39,18762,1,1,16
22,43553,4,4,15
37,59682,4,2,19
32,11315,1,4,12
24,20245,5,1,18
28,518549,4,1,14
37,645536,3,12,28
32,757312,2,11,26
36,18469,4,1,16
47,428487,4,8,26
19,137944,3,7,13
44,1148669,3,9,18
32,245698,4,5,13
24,65228,4,2,18
21,232296,5,8,17
30,10666,4,3,15
39,5114,3,1,13
30,58841,4,4,20
44,1047345,2,11,21
20,329573,2,5,16
31,13752,2,2,18
21,45773,3,14,21
34,1388776,-1,17,25
39,50160,2,4,13
28,3013,3,3,15
18,51612,3,7,23
33,14441,2,1,16
35,585049,1,9,19
35,904228,1,12,29
41,33021,3,4,25
23,71365,4,1,20
37,46474,3,1,17
41,1142899,3,8,15
18,262217,1,2,8
34,97294,5,4,14
27,198492,4,3,11
31,16367,3,1,17
34,305299,4,5,20
28,89153,3,4,19
26,590938,3,7,16
32,166188,3,2,26
23,25711,2,1,20
23,309888,4,13,30
37,109431,2,9,22
22,10548,5,11,18
37,14171,4,1,15
35,122482,2,2,10
18,384271,3,6,11
26,207084,3,15,25
41,552314,3,17,19
24,297481,2,14,25
28,91505,3,1,21
35,3681293,3,13,19
38,842409,1,18,20
29,11931,4,1,11
27,72815,4,4,14
43,645358,1,6,17
45,14755,4,2,14
39,31869,3,5,15
32,1328396,1,17,21
25,1512498,3,16,21
25,913730,3,22,15
36,96571,2,5,14
35,203070,2,4,16
43,350726,3,8,29
37,121877,3,4,16
19,23734,1,1,8
40,284175,3,10,26
24,4487,2,2,19
28,523040,2,1,22
34,48292,2,1,14
47,540775,3,21,17
56,51326,5,2,17
36,220610,4,4,18
30,168425,4,24,23
36,16413,2,5,30
39,25709,3,1,14
29,1411429,3,6,14
46,113681,3,1,19
33,12634,2,1,11
35,1114581,4,15,30
37,18647,2,2,10
35,500437,3,9,20
38,305291,2,5,15
27,81059,2,2,14
27,20369,3,5,16
23,4379,5,1,20
35,91330,4,3,28
38,57940,4,5,11
35,21122,3,2,9
45,295622,2,8,19
31,8883,1,1,20
37,2502846,1,5,16
23,70319,3,10,17
28,77125,2,4,13
37,457313,-1,16,21
38,34928,3,8,16
29,1534007,5,25,26
31,100430,3,2,13
19,289341,5,22,27
29,259313,2,7,23
39,222915,2,10,25
36,2014916,3,18,26
36,4018367,3,6,20
32,83929,3,15,26
32,25296,4,6,20
26,211161,3,7,15
37,11002,2,4,18
35,43598,3,1,22
35,229066,2,6,14
27,1553862,3,30,39
18,166726,4,12,18
40,497936,1,11,17
28,375982,5,8,22
25,25425,2,3,18
37,5308,2,1,16
28,65560,3,2,13
40,308374,4,1,14
36,142419,2,8,16
37,510797,1,13,28
21,346750,3,2,11
41,8174,3,1,17
34,349011,3,3,10
29,21172,1,2,13
33,491151,3,4,14
18,69482,2,2,12
35,48778,3,3,15
23,276170,5,19,29
21,323288,5,3,17
19,8632,5,12,18
40,137297,2,7,17
26,210539,3,3,15
44,359279,4,13,11
27,164593,3,7,15
18,2878,3,1,17
23,11955,3,1,20
41,828648,3,11,19
30,43315,3,4,18
27,22348,3,4,17
33,142995,3,1,16
36,37134,4,1,16
40,130001,3,12,13
43,551046,3,14,22
29,45061,4,6,28
21,11104,3,2,22
28,518759,3,21,26
34,70748,5,7,13
24,779864,1,12,21
24,39137,3,1,22
34,109760,1,4,10
31,701191,3,16,27
32,17492,2,3,21
25,1367342,3,10,17
30,143392,4,8,20
24,10850,3,1,15
39,262074,3,11,18
40,81542,2,1,8
18,493152,5,10,24
24,201345,5,37,33
20,1654833,4,25,39
26,148767,3,12,19
31,145980,3,6,16
20,81531,1,8,16
24,935511,4,10,16
23,33204,3,1,19
33,138815,3,1,18
32,36989,1,7,11
26,4961,4,1,14
33,569799,3,19,26
27,387941,2,5,18
29,702804,2,2,21
45,27547,3,4,21
42,639435,4,15,38
21,642475,3,20,23
38,78913,4,1,13
38,1156807,2,12,21
22,10502,3,6,13
38,302566,3,7,15
44,43101,2,12,26
23,141105,1,2,8
24,53286,2,6,22
40,28248,4,3,16
34,59616,2,1,15
36,12831,4,1,11
34,90875,4,1,16
35,63957,2,7,17
21,192061,3,1,18
40,223071,3,6,10
41,437646,4,7,22
30,69828,3,18,25
31,798175,3,7,17
19,102690,3,33,24
36,15548,4,1,17
36,861387,2,9,17
31,61232,3,1,9
40,30140,1,10,20
29,312473,3,3,18
36,421042,5,7,23
23,32366,2,2,14
31,4191,4,1,26
30,336978,4,10,19
33,98630,-1,18,33
29,24126,3,1,14
30,99489,4,20,31
38,4033,2,1,11
28,474549,4,10,18
19,6336283,5,25,19
45,26055,1,1,10
43,602849,1,4,15
21,154340,1,3,11
37,158861,3,3,22
27,65288,1,11,19
34,66571,3,8,17
34,1132993,3,27,29
30,7088,3,1,16
25,57343,3,6,15
26,85882,5,4,20
24,328608,2,20,23
25,58947,3,1,16
31,523394,3,36,40
26,261558,2,5,14
37,316388,2,7,14
43,10732,3,3,16
27,569565,2,15,24
33,6513,2,6,26
35,91079,5,8,20
35,371871,1,8,13
32,98730,2,3,21
37,3196,4,1,20
35,45250,2,13,23
22,1747,2,2,18
38,39934,2,15,19
39,467474,3,7,14
25,20490,1,3,11
32,171670,4,7,17
37,271068,2,8,21
30,187177,3,9,23
40,1183371,2,13,18
50,20903,1,1,15
25,2286675,5,23,23
20,2728,4,4,20
34,1897550,2,15,13
37,4253,1,1,15
30,5519,3,1,17
43,103038,3,6,18
21,220295,3,3,13
37,378382,4,33,33
27,9103,3,1,18
45,12614,3,1,18
47,54345,1,1,13
25,65088,3,1,15
27,618449,3,6,10
38,1781037,3,5,25
28,174555,2,3,18
31,41355,5,1,16
32,15469,3,2,19
18,197728,3,1,15
31,258993,3,10,23
26,169654,1,12,27
28,127365,3,12,32
43,419378,3,27,23
21,20568,4,17,21
38,331013,3,5,23
29,801225,3,4,16
29,988472,3,19,23
38,231359,3,7,23
34,40642,3,2,24
36,147558,3,6,14
39,1501363,3,38,36
29,371899,1,15,24
27,13745,1,2,23
23,4135996,4,24,22
25,1092744,2,31,28
55,90758,4,2,11
41,794073,4,18,28
21,250007,4,17,22
21,20745,4,1,14
35,86018,3,8,14
36,22471,2,2,25
36,60274,1,8,10
